Price,Close,High,Low,Open,Volume
Ticker,NIFTY_MIDCAP_100.NS,NIFTY_MIDCAP_100.NS,NIFTY_MIDCAP_100.NS,NIFTY_MIDCAP_100.NS,NIFTY_MIDCAP_100.NS
Date,,,,,
2023-08-09,38037.0,38058.3984375,37756.3984375,37995.8515625,0
2023-08-10,38007.6015625,38163.94921875,37850.94921875,38100.8984375,0
2023-08-11,37836.1484375,38148.5,37791.19921875,38138.0,0
2023-08-14,37770.19921875,37838.1484375,37258.6015625,37791.8515625,0
2023-08-16,37801.6484375,37844.44921875,37526.3515625,37709.0,0
2023-08-17,37895.5,38013.80078125,37832.8984375,37901.3984375,0
2023-08-18,37815.3984375,38003.19921875,37715.1484375,37923.8984375,0
2023-08-21,38126.3984375,38160.8515625,37830.6484375,37900.1484375,0
2023-08-22,38544.30078125,38563.0,38237.6484375,38263.8515625,0
2023-08-23,38694.6484375,38831.80078125,38641.69921875,38681.1015625,0
2023-08-24,38789.0,39039.0,38751.25,38934.94921875,0
2023-08-25,38471.25,38805.80078125,38385.1484375,38712.1484375,0
2023-08-28,38662.1484375,38733.25,38508.25,38605.5,0
2023-08-29,38794.80078125,38844.0,38708.8515625,38777.8515625,0
2023-08-30,39077.55078125,39151.8984375,38953.80078125,38966.80078125,0
2023-08-31,39118.6484375,39241.8984375,38965.8984375,39202.3515625,0
2023-09-01,39445.6015625,39480.5,39035.80078125,39148.3984375,0
2023-09-04,39830.3515625,39885.30078125,39445.6015625,39630.75,0
2023-09-05,40253.6015625,40292.1484375,39830.3515625,39995.44921875,0
2023-09-06,40284.1015625,40377.30078125,40154.80078125,40367.3515625,0
2023-09-07,40593.8984375,40619.1484375,40284.1015625,40362.80078125,0
2023-09-08,40977.75,41011.1484375,40593.8984375,40722.80078125,0
2023-09-11,41444.19921875,41467.19921875,41148.69921875,41225.80078125,0
2023-09-12,40170.30078125,41686.75,40128.0,41684.8984375,0
2023-09-13,40245.1015625,40345.75,39603.6484375,40142.75,0
2023-09-14,40716.05078125,40740.8515625,40403.6015625,40455.6484375,0
2023-09-15,40829.8984375,40982.75,40711.6015625,40908.3984375,0
2023-09-18,40658.19921875,40890.5,40633.1015625,40885.30078125,0
2023-09-20,40543.8515625,40714.44921875,40311.6484375,40515.3984375,0
2023-09-21,40184.8515625,40664.94921875,40095.44921875,40480.6484375,0
2023-09-22,40139.1484375,40399.55078125,39909.25,40240.44921875,0
2023-09-25,40405.69921875,40456.3515625,39909.8515625,40216.94921875,0
2023-09-26,40338.8515625,40546.6015625,40312.8515625,40437.6484375,0
2023-09-27,40640.80078125,40678.3984375,40311.3984375,40423.19921875,0
2023-09-28,40104.05078125,40766.75,40051.6484375,40734.25,0
2023-09-29,40537.05078125,40663.25,40165.5,40273.8984375,0
2023-10-03,40608.8515625,40666.0,40382.30078125,40562.1015625,0
2023-10-04,40047.5,40525.8515625,39746.8515625,40522.75,0
2023-10-05,40046.0,40402.3984375,40014.05078125,40246.55078125,0
2023-10-06,40284.69921875,40319.3515625,40123.8515625,40207.0,0
2023-10-09,39744.6484375,39987.30078125,39634.69921875,39895.0,0
2023-10-10,40285.5,40325.0,39921.94921875,39925.75,0
2023-10-11,40486.25,40731.1484375,40458.6484375,40539.94921875,0
2023-10-12,40555.5,40704.94921875,40523.3984375,40654.55078125,0
2023-10-13,40506.1484375,40641.8515625,40348.80078125,40429.80078125,0
2023-10-16,40590.6484375,40687.6015625,40443.55078125,40571.55078125,0
2023-10-17,40733.3515625,40849.44921875,40666.30078125,40798.25,0
2023-10-18,40367.1484375,40844.3984375,40318.8515625,40799.80078125,0
2023-10-19,40332.6015625,40375.6015625,40001.0,40219.30078125,0
2023-10-20,39878.75,40322.3984375,39754.44921875,40256.1015625,0
2023-10-23,38817.3515625,39971.8984375,38706.1015625,39918.1015625,0
2023-10-25,38564.25,39083.3984375,38187.6484375,38964.3515625,0
2023-10-26,38116.75,38365.80078125,37655.8515625,38337.75,0
2023-10-27,38701.8515625,38828.3515625,38383.0,38383.5,0
2023-10-30,38735.19921875,38832.69921875,38363.19921875,38804.3515625,0
2023-10-31,38876.94921875,39116.6484375,38818.94921875,38952.94921875,0
2023-11-01,38775.1015625,39004.19921875,38738.69921875,38983.0,0
2023-11-02,39312.44921875,39351.69921875,39055.44921875,39061.75,0
2023-11-03,39587.3984375,39640.05078125,39490.3984375,39576.75,0
2023-11-06,39937.1015625,39967.69921875,39743.3984375,39831.3515625,0
2023-11-07,40049.80078125,40139.25,39892.6015625,40031.44921875,0
2023-11-08,40446.8515625,40482.30078125,40250.75,40275.80078125,0
2023-11-09,40537.6484375,40680.8984375,40454.6015625,40566.3515625,0
2023-11-10,40733.05078125,40778.1015625,40297.25,40509.30078125,0
2023-11-13,41009.69921875,41063.69921875,40784.25,40933.94921875,0
2023-11-15,41404.8515625,41432.55078125,41237.05078125,41401.8515625,0
2023-11-16,41726.30078125,41818.94921875,41414.8984375,41463.69921875,0
2023-11-17,41811.25,41863.19921875,41584.1484375,41670.69921875,0
2023-11-20,41856.44921875,42011.1015625,41774.5,41920.0,0
2023-11-21,41883.5,42058.94921875,41843.69921875,42023.1484375,0
2023-11-22,42027.1015625,42078.30078125,41676.3515625,41949.25,0
2023-11-23,42027.30078125,42184.3984375,42006.5,42168.94921875,0
2023-11-24,42050.44921875,42193.19921875,41992.8984375,42145.3515625,0
2023-11-28,42278.0,42299.75,42077.6015625,42200.94921875,0
2023-11-29,42618.69921875,42664.69921875,42501.30078125,42507.1015625,0
2023-11-30,42908.8984375,42979.6484375,42483.69921875,42709.8515625,0
2023-12-01,43382.3984375,43469.30078125,43118.25,43155.05078125,0
2023-12-04,43918.6015625,44148.8984375,43727.94921875,44116.44921875,0
2023-12-05,44122.8984375,44187.94921875,43661.1015625,44095.44921875,0
2023-12-06,44232.44921875,44434.75,43989.25,44299.44921875,0
2023-12-07,44495.0,44516.8984375,44007.94921875,44301.1484375,0
2023-12-08,44400.19921875,44758.3515625,44033.1484375,44662.5,0
2023-12-11,44729.1484375,44762.94921875,44458.30078125,44536.80078125,0
2023-12-12,44555.75,44920.6484375,44303.6484375,44890.6484375,0
2023-12-13,44947.30078125,44997.55078125,44465.94921875,44689.0,0
2023-12-14,45534.30078125,45587.0,45221.44921875,45276.55078125,0
2023-12-15,45586.55078125,45814.44921875,45514.1015625,45791.3515625,0
2023-12-18,45685.1484375,45833.94921875,45355.1484375,45678.6015625,0
2023-12-19,45512.44921875,45837.6015625,45276.75,45813.0,0
2023-12-20,44024.94921875,45955.94921875,43845.3515625,45757.94921875,0
2023-12-21,44767.69921875,44825.1484375,43281.30078125,43609.8984375,0
2023-12-22,45094.80078125,45234.1484375,44758.55078125,45040.55078125,0
2023-12-26,45388.1015625,45502.25,45138.0,45275.25,0
2023-12-27,45558.94921875,45781.6015625,45341.55078125,45621.8515625,0
2023-12-28,45815.25,45846.75,45549.1484375,45720.19921875,0
2023-12-29,46181.6484375,46248.6484375,45731.1484375,45931.1484375,0
2024-01-02,46389.6484375,46652.25,45858.6015625,46581.1484375,0
2024-01-03,46529.05078125,46652.44921875,46183.8515625,46473.0,0
2024-01-04,47309.69921875,47345.25,46728.19921875,46744.80078125,0
2024-01-05,47396.30078125,47647.8984375,47064.19921875,47539.30078125,0
2024-01-08,46894.3515625,47560.0,46845.3515625,47541.55078125,0
2024-01-09,46969.94921875,47360.6484375,46901.0,47230.0,0
2024-01-10,47107.1484375,47130.1484375,46576.8515625,47057.1484375,0
2024-01-11,47337.30078125,47434.75,47197.3984375,47291.69921875,0
2024-01-12,47512.6015625,47595.3984375,47363.6484375,47579.05078125,0
2024-01-15,47837.94921875,47951.3515625,47485.8984375,47797.05078125,0
2024-01-16,47667.3984375,48053.44921875,47249.6484375,47970.75,0
2024-01-17,47151.55078125,47599.8984375,46899.55078125,47252.75,0
2024-01-18,47099.8515625,47176.1484375,45860.25,47038.19921875,0
2024-01-19,47815.94921875,47855.8984375,47377.1484375,47510.3984375,0
2024-01-23,46569.6015625,48493.94921875,46259.0,48459.1484375,0
2024-01-24,47423.3984375,47505.3984375,46081.3515625,46681.1484375,0
2024-01-25,47208.6484375,47589.25,46951.5,47565.80078125,0
2024-01-29,47979.05078125,48003.1484375,47289.80078125,47406.1015625,0
2024-01-30,47791.94921875,48296.3984375,47731.8515625,48233.0,0
2024-01-31,48568.6015625,48598.05078125,47827.30078125,47876.1015625,0
2024-02-01,48298.0,48726.75,47987.30078125,48726.75,0
2024-02-02,48477.0,48796.3515625,48416.1015625,48521.0,0
2024-02-05,48410.19921875,48876.3984375,48296.1015625,48668.6484375,0
2024-02-06,48984.6484375,49018.5,48301.55078125,48638.55078125,0
2024-02-07,49352.05078125,49430.8515625,48950.05078125,49349.1015625,0
2024-02-08,49327.80078125,49780.6484375,49238.69921875,49776.3984375,0
2024-02-09,48889.05078125,49395.69921875,48040.75,49390.69921875,0
2024-02-12,47675.80078125,49142.8984375,47526.55078125,49137.6484375,0
2024-02-13,47835.6484375,47908.19921875,46943.25,47754.6484375,0
2024-02-14,48331.8984375,48494.8515625,47096.5,47313.0,0
2024-02-15,48821.8984375,48896.1015625,48583.3984375,48653.3515625,0
2024-02-16,49131.94921875,49210.1015625,48897.6484375,49059.6484375,0
2024-02-20,49248.44921875,49451.69921875,49078.3984375,49347.1015625,0
2024-02-21,48630.5,49464.8984375,48499.55078125,49411.3515625,0
2024-02-22,49128.3515625,49189.30078125,48195.5,48857.0,0
2024-02-23,49279.55078125,49506.25,49164.05078125,49359.05078125,0
2024-02-26,49102.30078125,49404.3984375,48845.69921875,49320.75,0
2024-02-27,49041.19921875,49351.80078125,48860.94921875,49139.55078125,0
2024-02-28,48089.1015625,49184.6015625,47972.1015625,49159.8515625,0
2024-02-29,48335.69921875,48470.80078125,47548.80078125,48098.6484375,0
2024-03-01,48790.6015625,48830.5,48517.44921875,48574.94921875,0
2024-03-04,49248.8984375,49334.75,48971.1484375,49273.69921875,0
2024-03-05,49114.8984375,49381.6484375,48999.8515625,49278.30078125,0
2024-03-06,48857.30078125,49228.1015625,48092.6484375,49213.69921875,0
2024-03-07,48966.1484375,49182.05078125,48868.6015625,48935.8984375,0
2024-03-11,48774.6484375,49201.19921875,48697.3515625,49194.6015625,0
2024-03-12,48086.8515625,48891.19921875,47862.3984375,48837.19921875,0
2024-03-13,45971.3984375,48278.0,45656.8515625,48190.05078125,0
2024-03-14,46901.19921875,46979.75,45293.3515625,45658.1015625,0
2024-03-15,46685.6015625,47145.30078125,46062.05078125,46904.44921875,0
2024-03-18,46501.6484375,46847.94921875,46149.55078125,46669.1015625,0
2024-03-19,45926.30078125,46536.55078125,45751.05078125,46514.80078125,0
2024-03-20,45919.8984375,46234.69921875,45395.30078125,46096.6484375,0
2024-03-21,47033.55078125,47071.1484375,46424.8515625,46430.69921875,0
2024-03-22,47312.8515625,47371.0,46843.5,46986.25,0
2024-03-26,47807.6484375,47842.19921875,47193.6484375,47200.25,0
2024-03-27,47837.3515625,48135.3515625,47786.1015625,47965.30078125,0
2024-03-28,48075.75,48250.25,47785.19921875,48131.3984375,0
2024-04-01,48912.05078125,48958.5,48388.8515625,48463.1484375,12842600
2024-04-02,49479.30078125,49521.30078125,48918.44921875,49117.30078125,0
2024-04-03,49736.69921875,49801.3984375,49252.69921875,49398.94921875,0
2024-04-04,49743.80078125,50152.3515625,49605.80078125,50101.1015625,0
2024-04-05,50022.8515625,50058.55078125,49678.75,49791.75,0
2024-04-08,50041.3984375,50361.05078125,49760.25,50355.55078125,0
2024-04-09,49894.69921875,50309.6015625,49744.1484375,50279.1015625,0
2024-04-10,50380.3984375,50443.1484375,49963.19921875,50075.3984375,0
